Author,Year,Journal,Title,Abstract,Sustainable,Groundwater,Policy,Modeling,Surfacewater,Ecosystem,HumanActivities,Uncertainty,Participation,Coast
Unsal et al.,2014,Environmental Earth Sciences,assessing the impacts of climate change on sustainable management of coastal aquifers,"water is a vital resource for the survival of not only human population, but also almost all ecosystems. constituting 30 % of all freshwater, groundwater is the main source of available freshwater. coastal aquifers, which serve as the major freshwater source for densely populated zones, are of vital importance and quite vulnerable to climate change. this paper examines the significant consequences of climate change, decreasing recharge rates, sea level rise and increasing freshwater demand on the sustainable management of coastal aquifers, via a hypothetical case study. a 3 d numerical model is developed using seawat, to simulate a circular island aquifer in the form of a freshwater lens surrounded by saltwater. issues such as sloping land surface resulting in landward migration of the coastal boundary and transient response of the system due to pumping are considered through a set of predictive simulations. to assess the sensitivity of the model results to important parameters, a sensitivityanalysis is performed. results of this research, revealing the effects of mentioned pressures on the long term sustainability of the freshwater resource, are evaluated on the basis of groundwater reserves and intrusion of the freshwater saltwater interface in lateral and vertical directions. these outcomes are further used to determine the sustainable pumping rate of the system, considering both quantity and quality of the groundwater resources.",1,1,0,1,0,1,0,1,0,1
El-Kadi et al.,2014,Hydrogeology Journal,"assessing sustainability of groundwater resources on jeju island, south korea, under climate change, drought, and increased usage","numerical groundwater models were used to assess groundwater sustainability on jeju island, south korea, for various climate and groundwater withdrawal scenarios. sustainability criteria included groundwater level elevation, spring flows, and salinity. the latter was studied for the eastern sector of the island where saltwater intrusion is significant. model results suggest that there is a need to revise the current estimate of sustainable yield of 1.77 x 10(6) m(3)/day. at the maximum extraction of 84 % of the sustainable yield, a 10 year drought scenario would decrease spring flows by 28 %, dry up 27 % of springs, and decrease hydraulic head by an island wide average of 7 m. head values are particularly sensitive to changes in recharge in the western parts of the island, due to the relatively low hydraulic conductivity of fractured volcanic aquifers and increased groundwater extraction for irrigation. increases in salinity are highest under drought conditions around the current 2 m head contour line, with an estimated increase of up to 9 g/l under 100 % sustainable yield use. the study lists recommendations towards improving the island's management of potable groundwater resources. however, results should be treated with caution given the available data limitations and the simplifying assumptions of the numerical modeling approaches.",1,1,0,1,0,0,0,0,0,1
Singh et al.,2014,Journal of Hydrology,optimization modelling for seawater intrusion management,"the coastal aquifers of the world are facing environmental problem of seawater intrusion. this problem is the results of indiscriminate and unplanned groundwater exploitation for fulfilling the growing need of freshwater for the burgeoning global population. there is a need to develop appropriate management models for assessing the maximum feasible pumping rates which protects seawater intrusion in coastal aquifers. the comprehensive reviews on the use of various programming techniques for the solution of seawater intrusion management problem of coastal aquifers have been provided in this paper. the literature review revealed that the management models used in the past mainly considered the objectives of maximization of pumping rate, minimization of drawdown, minimization of pumped water, minimization of seawater volume into the aquifer, and/or minimization of pumping cost. the past reviews are grouped into five sections based on the programming techniques adopted. the sections include: linear programming, nonlinear programming, genetic algorithms, artificial neural networks, and multiobjective optimization models. conclusions are drawn where gaps exist and more research needs to be focused. this review provides the basis for the selection of appropriate methodology for the management of seawater intrusion problems of coastal aquifers. (c) 2013 elsevier b.v. all rights reserved.",1,1,0,1,0,0,0,0,0,1
Antonakos et al.,2014,Hydrogeology Journal,"site selection for drinking water pumping boreholes using a fuzzy spatial decision support system in the korinthia prefecture, se greece","the implementation of a geographic information system (gis)/fuzzy spatial decision support system in the selection of sites for drinking water pumping boreholes is described. groundwater is the main source of domestic supply and irrigation in korinthia prefecture, south eastern greece. water demand has increased considerably over the last 30 years and is mainly met by groundwater abstracted via numerous wells and boreholes. the definition of the most ""suitable"" site for the drilling of new boreholes is a major issue in this area. a method of allocating suitable locations has been developed based on multicriteria analysis and fuzzy logic. twelve parameters were finally involved in the model, prearranged into three categories: borehole yield, groundwater quality, and economic and technical constraints. gis was used to create a classification map of the research area, based on the suitability of each point for the placement of new borehole fields. the coastal part of the study area is completely unsuitable, whereas high values of suitability are recorded in the south western part. the study demonstrated that the method of multicriteria analysis in combination with fuzzy logic is a useful tool for selecting the best sites for new borehole drilling on a regional scale. the results could be used by local authorities and decision makers for integrated groundwater resources management.",1,1,0,1,0,0,0,0,1,1
Alam et al.,2014,Hydrological Processes,sustainable conjunctive use of groundwater for additional irrigation,"the key to sustainable conjunctive use of groundwater for additional irrigation' is the salt balance of groundwater below an irrigated field. this paper aims to develop a mathematical tool to study the accumulation of salt in the groundwater below an irrigated field as caused by irrigation recirculation. this study derives a salt balance of groundwater to ensure that the additional irrigation from groundwater remains possible in the future. the water and salt budgets by themselves do neither provide information concerning farmers' options nor on the limits of the individual terms in the budget equations. it is presumed that farmers will intuitively aim for (1) an optimal value of the actual evapotranspiration, and (2) a return flow as a feasible low fraction of the available water. we, therefore, derive the irrigation from groundwater q as a consequence of the predefined farmers' aims to achieve a high actual evapotranspiration in combination with a given optimally used irrigation system. our model concludes that the required amount of drainage is only dependent on the ratio of the salinity in the surface irrigation water and the acceptable salinity of the groundwater. the final salinity in the saturated zone only depends on salt carrying inflows and outflows. from the aforesaid model, it is further concluded that sustainable conjunctive use of groundwater for additional irrigation requires long term salt management, which should be founded on the essential controlling factors as derived in this paper. copyright (c) 2013 john wiley & sons, ltd.",1,1,0,1,0,0,0,0,0,1
Alam et al.,2014,Agricultural Water Management,punjab scavenger wells for sustainable additional groundwater irrigation,"we aim to solve the longstanding problem of sustainable groundwater extraction in the pakistani punjab (indus basin). since public scavenging wells were abandoned in the 1990s, farmers have largely embraced the practice of skimming wells to prevent or reduce salinity in their abstracted water. although this may be an effective short term solution, salinity levels will continue to rise overtime, rendering groundwater unsuitable for irrigation. we investigate the creation of balanced scavenging wells to reduce salinization so that sustainable groundwater use is possible as an additional source for irrigation. to achieve such sustainability, a certain amount of brackish water must be discharged, and this amount is determined by assessing the combined salt and waterbudgets. matlab based seawat models were used to show that (1) recirculation wells can substantially delay (but not prevent) salinization as a mid term solution and (2) scavenging is the only long term option to solve the salinization problem. final (i.e., long term) salinity does not depend on hydraulic parameters or initial groundwater salinity, which can only delay or speed up the process of salinization. a sensitivityanalysis showed that vertical anisotropy (ratio of horizontal to vertical hydraulic conductivity) is the most important hydraulic variable for reducing the depth reached by streamlines, which reduces the time required to reach the equilibrium salinity. we conclude: (1) the extraction of freshwater can be determined from leakage, return flow and saltwater extraction; (2) the required saltwater extraction does not depend on freshwater extraction, although for recirculation, saltwater extraction does depend on saltwater injection; and (3) the final salinity in the saturated zone only depends on the salinity of the irrigation water, saltwater extraction, leakage from the irrigation canal system and, in the case of recirculation, the saltwater injection. (c) 2014 elsevier b.v. all rights reserved.",1,1,0,1,0,0,0,1,0,1
Ahmed et al.,2014,Surveys in Geophysics,"geophysical constraints on the hydrogeologic and structural settings of the gulf of suez rift related basins: case study from the el qaa plain, sinai, egypt","groundwater has been identified as one of the major freshwater sources that can potentially meet the growing demands of egypt's population. gravity data (from 381 ground gravity stations) were collected, processed, and analyzed together with the available aeromagnetic (800 line km) data to investigate the hydrogeologic and structural settings, areal distribution, geometry, and water storage of the aquifers in el qaa coastal plain in the southwest sinai peninsula, and to assess their longevity given projected extraction rates. findings include (1) complete bouguer anomaly and total magnetic intensity maps show two connected sub basins separated by a narrow saddle with an average basin length of 43 km and an average width of 12 km; (2) two dimensional modeling of both gravity and magnetic data indicates basin fill with a maximum thickness of 3.5 km; (3) using anomalous residual gravity, the volume of water in storage was estimated at 40 56 km(3); and (4) progressive increases in extraction rates over time will deplete up to 40 % of the aquifers' volume in 200 230 years and will cause the water quality to deteriorate due to seawater intrusion in 45 years. similar geophysical exploration campaigns, if conducted over the entire coastal plains of the red sea and the gulfs of suez and aqaba, could assist in the development of sound and sustainable management schemes for the freshwater resources in these areas. the adopted techniques could pave the way toward the establishment of sustainable utilization schemes for a much larger suite of similar aquifers worldwide.",1,1,0,1,0,0,0,0,0,1
King et al.,2014,Hydrogeology Journal,"multivariate statistical analysis of hydrochemical data to assess alluvial aquifer stream connectivity during drought and flood: cressbrook creek, southeast queensland, australia","a catchment scale multivariate statistical analysis of hydrochemistry enabled assessment of interactions between alluvial groundwater and cressbrook creek, an intermittent drainage system in southeast queensland, australia. hierarchical cluster analyses and principal component analysis were applied to time series data to evaluate the hydrochemical evolution of groundwater during periods of extreme drought and severe flooding. a simple three dimensional geological model was developed to conceptualise the catchment morphology and the stratigraphic framework of the alluvium. the alluvium forms a two layer system with a basal coarse grained layer overlain by a clay rich low permeability unit. in the upper and middle catchment, alluvial groundwater is chemically similar to streamwater, particularly near the creek (reflected by high hco3/cl and k/na ratios and low salinities), indicating a high degree of connectivity. in the lower catchment, groundwater is more saline with lower hco3/cl and k/na ratios, notably during dry periods. groundwater salinity substantially decreased following severe flooding in 2011, notably in the lower catchment, confirming that flooding is an important mechanism for both recharge and maintaining groundwater quality. the integrated approach used in this study enabled effective interpretation of hydrological processes and can be applied to a variety of hydrological settings to synthesise and evaluate large hydrochemical datasets.",1,1,0,1,0,0,0,0,0,1
Chen et al.,2014,Water Resources Management,application of neural networks and optimization model in conjunctive use of surfacewater and groundwater,"this study develops an optimization model for the large scale conjunctive use of surfacewater and groundwater resources. the aim is to maximize public and irrigation water supplies subject to groundwater level drawdown constraints. linear programming is used to create the optimization model, which is formulated as a linear constrained objective function. an artificial neural network is trained by a flow modeling program at specific observation wells, and the network is then incorporated into the optimization model. the proposed methodology is applied to the chou shui alluvial fan system, located in central taiwan. people living in this region rely on large quantities of pumped water for their public and irrigation demands. this considerable dependency on groundwater has resulted in severe land subsidence in many coastal regions of the alluvial fan. consequently, an efficient means of implementing large scale conjunctive use of surfacewater and groundwater is needed to prevent further overuse of groundwater. two different optimization scenarios are considered. the results given by the proposed model show that water usage can be balanced with a stable groundwater level. our findings may assist officials and researchers in establishing plans to alleviate land subsidence problems.",1,1,0,1,1,0,0,0,0,1
Silburn et al.,2013,Crop & Pasture Science,the australian cotton industry and four decades of deep drainage research: a review,"the australian cotton industry and governments have funded research into the deep drainage component of the soil waterbalance for several decades. cotton is dominantly grown in the northern murray darling and fitzroy basins, using furrow irrigation on cracking clays. previously, it was held that furrow irrigation on cracking clays was inherently efficient and there was little deep drainage. this has been shown to be simplistic and generally incorrect. this paper reviews global and northern australian deep drainage studies in irrigation, generally at point  or paddock scale, and the consequences of deep drainage. for furrow irrigated fields in australia, key findings are as follows. (i) deep drainage varies considerably depending on soil properties and irrigation management, and is not necessarily very small'. historically, values of 100 250mm year( 1) were typical, with 3 900mm year( 1) observed, until water shortage in the 2000s and continued research and extension focussed attention on water use efficiency (wue). (ii) more recently, values of 50 100mm year( 1) have been observed, with no deep drainage in drier years; these levels are lower than global values. (iii) optimisation (flow rate, field length, cut off time) of furrow irrigation can at least halve deep drainage. (iv) cotton is grown on soils with a wide range in texture, sodicity and structure. (v) deep drainage is moderately to strongly related to total rainfall plus irrigation, as it is globally. (vi) a leaching fraction, to avoid salt build up in the soil profile, is only needed for irrigation where more saline water is used. drainage from rainfall often provides an adequate leaching fraction. (vii) near saturated conditions occur for at least 2 6m under irrigated fields, whereas profiles are dry under native vegetation in the same landscapes. (viii) deep drainage leachate is typically saline and not a source of good quality groundwater recharge. large losses of nitrate also occur in deep drainage. the consequences of deep drainage for groundwater and salinity are different where underlying groundwater can be used for pumping (fresh water, high yield; e.g. condamine alluvia) and where it cannot (saline water or low yield; e.g. border rivers alluvia). continuing improvements in wue are needed to ensure long term sustainability of irrigated cropping industries. globally there is great potential for increased production using existing water supplies, given deep drainage of 10 25% of water delivered to fields and wue of <50%. future research priorities are to further characterise water movement through the unsaturated zone and the consequences of deep drainage.",1,1,0,0,0,0,0,0,0,1
Cao et al.,2013,Water Resources Research,use of flow modeling to assess sustainability of groundwater resources in the north china plain,"the north china plain (ncp) is one of the global hotspots of groundwater depletion. currently, our understanding is limited on spatiotemporal variability in depletion and approaches toward more sustainable groundwater development in this region. this study was intended to simulate spatiotemporal variability in groundwater depletion across the entire ncp and explore approaches to reduce future depletion. simulated predevelopment groundwater recharge (similar to 13 km(3)/yr) primarily discharged as base flow to rivers and evapotranspiration. initial groundwater storage was estimated to be 1500 km(3) of drainable storage in shallow aquifers and 40 km(3) of compressive storage in deep aquifers. simulated groundwater depletion from 1960s to 2008 averaged similar to 4 km(3)/yr. cumulative depletion was 50 km(3) (similar to 20% of pumpage) in the piedmont district, 103 km(3) (similar to 20%) in the central plain, and 5 km(3) (12%) in the coastal plain. however, depletion varied with time: similar to 2.5 km(3)/yr in the 1970s, similar to 4.0 in the 1980s, similar to 2.0 in 1990 1996; similar to 7.0 in 1997 2001, and similar to 4.0 in 2002 2008. recharge also varied spatially, averaging similar to 120 mm/yr and concentrated in the piedmont district (200 350 mm/yr) while lower in the central and coastal plains (50 100 mm/yr). simulation of several alternatives, including managed aquifer recharge, increased water use efficiency, brackish water use, and interbasin water transfer, indicated that the combination of these strategies could be used to recover groundwater storage by 50 km(3) over a 15 year period. this study provides valuable insights for developing more sustainable groundwater management options for the ncp; the methods are useful for managing other depleted aquifers. citation: cao, g., c. zheng, b. r. scanlon, j. liu, and w. li (2013), use of flow modeling to assess sustainability of groundwater resources in the north china plain, water resour. res., 49, doi:10.1029/2012wr011899.",1,1,0,1,0,0,0,0,0,1
Chaimanee et al.,2013,Environmental Earth Sciences,groundwater development in the ccop countries: challenges and opportunities,"ccop stands for coordinating committee for geoscience programmes in east and southeast asia an intergovernmental organization comprising of eleven member countries: cambodia, china, indonesia, japan, malaysia, papua new guinea, the philippines, republic of korea, singapore, thailand and vietnam. ccop's mission is to facilitate and coordinate the implementation of applied geoscience programmes in the region to contribute to economic development and an improved quality of life within the region. as an intergovernmental geoscience organization, ccop organizes its activities in seven programmes, including the groundwater programme, which promotes capacity building, technology transfer, exchange of information and institutional linkages for sustainable groundwater resource development in ccop member countries. the overview of the status of groundwater development within the ccop member countries will be elaborated highlighting quantity and quality challenges for its sustainable development. some examples of challenges are the large numbers of people in these regions that still have no access to an improved water source; decline in the availability of freshwater, particularly in large river basins due to global warming; saltwater intrusion; arsenic pollution of groundwater, etc. finally, the emphasis of the importance of capacity building in sound groundwater management will be shown as the contribution of ccop to its members. the recommendation to capture the opportunities for groundwater development in ccop member countries will be presented and discussed.",1,1,0,1,0,0,0,0,0,1
Nocchi et al.,2013,Journal of Hydrology,a 3d density dependent model for assessment and optimization of water management policy in a coastal carbonate aquifer exploited for water supply and fish farming,"the ansedonia promontory (southern tuscany, italy) is characterized by the presence of fish farms that pump thermal saline groundwater. the water is extracted from a carbonate aquifer with high permeability due to fracturing and karstification that is also exploited for irrigation purposes and domestic use. such exploitation has led to the degradation of groundwater quality, producing conflict among the different users. the conceptualization of the aquifer allowed the development of a 3d finite element density dependent numerical model using the feflow code. the slightly negative freshwaterbudget in the very humid hydrologic year of 2004 2005 revealed that the aquifer was overexploited, especially due to the extraction of freshwater (along with seawater) from fish farm wells and pumping from public supply wells. the model was also used to forecast the quantitative and qualitative evolution of resources over time, thus testing the effects of different management hypotheses. results demonstrate that the sustainable management of the aquifer mostly depends on withdrawals from public supply wells; the quantity extracted by fish farms only significantly affects the freshwater/saltwater interface and, locally, the salinity of groundwater. actions to counteract seawater intrusion are proposed. (c) 2013 elsevier b.v. all rights reserved.",1,1,1,1,0,0,0,0,0,1
Cheong et al.,2013,Geosciences Journal,analyzing groundwater change on a volcanic island caused by the impact of the m9 sumatra earthquake,"changes in groundwater level have been recognized by the earthquakes at various epicentral distances. the m9 sumatra earthquake resulted in changes in the groundwater level, electrical conductivity, and temperature in monitoring wells on jeju island, south korea. in regions of different groundwater type (basal, lower parabasal, upper parabasal, and high level groundwater), the changes in the groundwater levels at 25 monitoring wells ranged between 4.0 and 49.5 cm; changes in the electrical conductivity at six monitoring wells ranged between 1 and 27,975 mu s/cm; and the changes in water temperature at three wells ranged between 0.02 and 1.37 a degrees c. the irregular groundwater level changes at different locations on the island due to the earthquake reflect various interactions between hydrological properties and seismological processes. the impact of the earthquake was successfully recognized via transfer function modeling between the time series of groundwater level and the tidal oscillation. on the basis of the theoretical aquifer response to the earthquake, storage coefficient estimates for aquifers, which could not be determined from the single well pumping tests, were determined to be within the range of 1.22 center dot 10( 4) 3.51 center dot 10( 6).",1,1,0,1,0,0,0,0,0,1
Eissa et al.,2013,Hydrogeology Journal,"groundwater resource sustainability in the wadi watir delta, gulf of aqaba, sinai, egypt","the wadi watir delta, in the arid sinai peninsula, egypt, contains an alluvial aquifer underlain by impermeable precambrian basement rock. the scarcity of rainfall during the last decade, combined with high pumping rates, resulted in degradation of water quality in the main supply wells along the mountain front, which has resulted in reduced groundwater pumping. additionally, seawater intrusion along the coast has increased salinity in some wells. a three dimensional (3d) groundwater flow model (modflow) was calibrated using groundwater level changes and pumping rates from 1982 to 2009; the groundwater recharge rate was estimated to be 1.58 x 10(6) m(3)/year. a variable density flow model (seawat) was used to evaluate seawater intrusion for different pumping rates and well field locations. water chemistry and stable isotope data were used to calculate seawater mixing with groundwater along the coast. geochemical modeling (netpath) determined the sources and mixing of different groundwaters from the mountainous recharge areas and within the delta aquifers; results showed that the groundwater salinity is controlled by dissolution of minerals and salts in the aquifers along flow paths and mixing of chemically different waters, including upwelling of saline groundwater and seawater intrusion. future groundwater pumping must be closely monitored to limit these effects.",1,1,0,1,0,0,0,0,0,1
Susnik et al.,2013,Water Resources Management,comparative analysis of system dynamics and object oriented bayesian networks modelling for water systems management,"this paper presents a comparative analysis of system dynamics modelling (sdm) and object oriented bayesian networks (oobn). both techniques are extensively used for water resources modelling due to their flexibility, effectiveness in assessing different management options, ease of operation and suitability for encouraging stakeholder involvement. conversely, both approaches have several important differences that make them complementary. for example, while sdm is more suitable for simulating the feedback dynamics of processes, oobn modelling is a powerful tool for modelling systems with uncertain inputs (or outputs) characterised by probability distributions. this comparative analysis is applied to the kairouan aquifer system, tunisia, where the aquifer plays an essential role for socio economic development in the region. both models produced comparable results using baseline data, and show their complementarity through a suite of scenario tests. it is shown that reducing pumping of groundwater to coastal cities may prove the key to reducing the current aquifer deficit, though local demand reduction must be considered to preserve the agricultural economy. it is suggested that water management assessment should be tackled using both approaches to complement each other, adding depth and insight, and giving a more coherent picture of the problem being addressed, allowing for robust policy decisions to be made.",1,1,1,1,0,0,1,1,1,1
Mair et al.,2013,Journal of Hydrology,"temporal and spatial variability of groundwater recharge on jeju island, korea","estimates of groundwater recharge spatial and temporal variability are essential inputs to groundwater flow models that are used to test groundwater availability under different management and climate conditions. in this study, a soil waterbalance analysis was conducted to estimate groundwater recharge on the island of jeju, korea, for baseline, drought, and climate landuse change scenarios. the soil waterbalance (swb) computer code was used to compute groundwater recharge and other waterbalance components at a daily time step using a 100 m grid cell size for an 18 year baseline scenario (1992 2009). a 10 year drought scenario was selected from historical precipitation trends (1961 2009), while the climate landuse change scenario was developed using late 21st century climate projections and a change in urban landuse. mean annual recharge under the baseline, drought, and climate landuse scenarios was estimated at 884,591, and 788 mm, respectively. under the baseline scenario, mean annual recharge was within the range of previous estimates (825 959 mm) and only slightly lower than the mean of 902 mm. as a fraction of mean annual rainfall, mean annual recharge was computed as only 42% and less than previous estimates of 44 48%. the maximum historical reported annual pumping rate of 241 x 10(6) m(3) equates to 15% of baseline recharge, which is within the range of 14 16% computed from earlier studies. the model does not include a mechanism to account for additional sources of groundwater recharge, such as fog drip, irrigation, and artificial recharge, and may also overestimate evapotranspiration losses. consequently, the results presented in this study represent a conservative estimate of total recharge. published by elsevier b.v.",1,1,0,1,0,0,0,0,0,1
Atwia et al.,2013,Environmental Monitoring and Assessment,"hydrochemical and geoelectrical investigation of the coastal shallow aquifers in el omayed area, egypt","monitoring and assessment of the coastal aquifers are becoming a worldwide concern for the need of additional and sustainable water resources to satisfy demographic growth and economic development. a hydrochemical and geoelectrical investigation was conducted in the el omayed area in the northwestern coast of egypt. the aim of the study was to delineate different water bearing formations, provide a general evaluation of groundwater quality, and identify the recharge sources in aquifers. thirty seven water samples were collected and chemically analyzed from the sand dune accumulations and oolitic limestone aquifers. fifteen profiles of vertical electrical soundings (vess) were obtained in the oolitic limestone aquifer to examine the variations of subsurface geology and associated groundwater chemistry. the groundwater reserves in the el omayed area are mainly contained in sand dune accumulations and oolitic limestone aquifers. the aquifer of sand dune accumulations contains freshwater of low salinity (average total dissolved solids (tds) = 974 mg/l). groundwater of oolitic limestone aquifer is slightly brackish (average tds = 1,486 mg/l). groundwater of these aquifers can be used for irrigation under special management for salinity control, and regular leaching as indicated by electrical conductivity and sodium adsorption ratio. results of ves interpretation classified the subsurface sequence of oolitic limestone aquifer into four geoelectric zones, with increasing depth, calcareous loam, gypsum, oolitic limestone, and sandy limestone. oolitic limestone constitutes the main aquifer and has a thickness of 12 32 m.",1,1,0,0,0,0,0,0,0,1
Engelhardt et al.,2013,Environmental Earth Sciences,impact of preboreal to subatlantic shifts in climate on groundwater resources on the arabian peninsula,"a large scale numerical flow and transport model was developed for the central eastern arid part of the arabian peninsula. the model was applied to a region with freshwater resources dating back to more humid periods of the past, which are faced with overexploitation today. model inflow was based on infiltration around wadi beds and groundwater recharge. inflow was balanced by natural outflows, such as evaporation from sabkhas, spring discharge, and discharge to the sea. two models were developed: (1) a short term present day model to estimate effective model parameters, and (2) a long term model to study the development of the groundwater resources during the mid  and late holocene and the natural response of the groundwater system to changes in climate. hydraulic model parameters (hydraulic conductivity and specific storage) were assigned with respect to geological structures. hydraulic parameters were estimated with an inverse pest model by calibrating against observed depression cones cause by groundwater abstraction. sensitivityanalysis demonstrated that estimated model parameters were associated with a high uncertainty at a certain distance from agricultural areas when calibration data were lacking. a long term model starting 10,000 years bp was calibrated by spring discharge and palaeo groundwater levels and validated using measured c 14 groundwater ages. the long model predicted that groundwater levels adapted in response to changes in precipitation. during the mid holocene, which was characterized by an intensification of the monsoon season, groundwater levels increased by 10 m on the mainland within the shallow aquifers and adapted quickly to higher recharge rates. the deeper aquifers were less affected by changes in climate. along the present day coastline, the groundwater level rose by about 25 m due to the declined sea level in the mid holocene. during this period, surface run off was possible as groundwater levels temporarily reached the ground surface. the natural groundwaterbudget reacted sensitively to changes in climate. between 10 and 3 ka, groundwater storage occurred. during the late holocene, at 3 ka, natural depletion of the groundwater system began, which still prevails today.",1,1,0,1,0,0,0,1,0,1
Engelhardt et al.,2013,Environmental Earth Sciences,surface and subsurface conceptual model of an arid environment with respect to mid  and late holocene climate changes,"the water demand in arid regions is commonly covered by groundwater resources that date back to more humid periods of the pleistocene and holocene. within the investigated arid part of se saudi arabia information about climate, groundwater levels, and pumping rates are only available for regions where groundwater extractions occur at present day. for the prediction of the impact of long term climate changes on groundwater resources an understanding of the hydrogeological and hydrological past and the development of the aquifers is necessary. therefore, all available information about hydrology and hydrogeology for the past 10,000 years bp were collected and compiled to a conceptual model of the aquifer development on the arabian peninsula since the last ice age. the climatic history was displayed by changes in precipitation, temperature and recharge during the mid s and late holocene. the hydrogeological development is described by groundwater ages, sea level fluctuations, movement of the coastline, and the development of sabkhas. the most sensitive parameter to describe the development of aquifer system is recharge. present day recharge was calculated with the hydrological model system hec hms accounting for current precipitation, temperature, wind, soil types, and geomorphology. with respect to changes in precipitation and temperature over the past 10,000 years the temporal and spatial variability of groundwater recharge was calculated using empirical equations valid for semi arid and arid settings. further inflow into the groundwater system results from surfacewater infiltration in wadi beds, while natural outflow from the groundwater system occurs by discharge to the gulf, evaporation from sabkhas, and spring discharge. backward predictions can be verified by sedimentological observations of palaeo river systems and lakes indicating that groundwater levels reached temporarily the surface under wetter climate conditions and c 14 groundwater ages displaying groundwater residence times.",1,1,0,1,1,0,0,0,0,1
Voudouris et al.,2013,Water,hydrogeological characteristics of hellenic aqueducts like qanats,"in ancient hellas, water management began in the early minoan era (ca. 3200 1100 bc) and was related to the geomorphology, the geology, the topography, and the local climatic, hydrological, and socio political conditions. historical and archaeological evidences show that ancient greeks had developed even qanat related technologies since the classical times. during democratic periods, the focus of water management was on sustainable small scale, safe, and cost effective management practices, and institutional arrangements, whereas in oligarchic periods, emphasis was on the construction of large scale hydraulic projects, including aqueducts and/or qanats, mostly related to the public sectors. aqueducts like qanats are gently sloping, artificially constructed underground galleries, which bring groundwater from the mountainous area to the lowlands, where water is used, sometimes several kilometers away. it is worth noticing that no large scale lifting techniques were available, and water was transferred from the source (usually a spring) by aqueducts (qanats) from a higher elevation to a lower level by gravity. historically, the aqueduct like qanat technology was developed by persians in the middle of 1st millennium bc, and spread towards the arabian peninsula and egypt. the expansion of islam led to diffusion of qanats in mediterranean countries (e. g., spain, italy, and cyprus). much of the population of iran and other arid countries in north africa and in asia depend on water supply by aqueducts like qanats, even today. this technology is characterized by its durability and sustainability, although an aqueduct like qanat is expensive, both in construction and maintenance. it is pointed out that, the technique of tunneling was used during the classical period in ancient hellas. since the well known tunnel at the island of samos, hellas, was designed and constructed by eupalinos (ca. 530 bc), several underground tunnels (with and without well like vertical shafts) in order to convey water from one location to another one located in a lower level were implemented in this country. several aqueducts (qanat) paradigms (e. g., in athens, on islands of crete and rhodes, and in the area of serres in north country), which are in use even today, are presented and discussed. overall, it seems that water related problems of modern societies are not very different from those during antiquity.",1,1,0,0,0,0,1,0,0,1
Mollema et al.,2013,Environmental Earth Sciences,"waterbudget management of a coastal pine forest in a mediterranean catchment (marina romea, ravenna, italy)","in mediterranean coastal catchments, water management for preservation of pine forests and other natural areas faces particular challenges. limited rainfall, water consumption by vegetation as well as subsidence, drainage and salt water intrusion all play an important role. traditionally forest and water management are carried out independent of one another and do not consider waterbudget calculations. we show with this study that is very important to have quantitative information of all the components of the waterbudget as well as the size of the fresh water lenses in the aquifer to be able to integrate the water  and forest management. we use an integrated hydrologic ecologic methodology based on easily attainable data to assess the monthly waterbudget of a coastal catchment, marina romea (ravenna, italy). we present detailed monthly watertable records, rainfall data, drainage data, tree density and tree perimeter and use published sap flow measurements of single pine trees (pinus pinea) to quantify the actual transpiration of single pine trees in different periods of the year. transpiration amounts to 10 30 l per day per tree. these values are confirmed by independent estimates of tree transpiration based on our waterbudget calculations: 9 34 l/tree/day. because typically there are so many trees in planted pine forests, the total transpiration rates over the whole watershed take up a large percentage (up to 200 %) of the precipitation. in marina romea, four monitoring periods out of twelve, the tree transpiration is larger than precipitation. in nine monitoring periods, drainage in the watershed is larger than precipitation or tree water transpiration. the measurements and calculations show that not much freshwater is left to recharge the fresh water lens underneath marina romea. monthly monitoring of groundwatertable elevation and salinity in the pine forest of marina romea from march 2007 to february 2008 shows that the groundwatertable strongly fluctuates and groundwater salinity is constantly very high (up to 17.7 g/l). analytical calculations based on the ghyben herzberg dupuit principle suggest that even a small continuous annual recharge of 15 mm could form a 2 m deep freshwater lens in the unconfined aquifer. this freshwater lens is not present in the study area and this is due to the fact that tree water transpiration and drainage take out most of the fresh water coming into the watershed. in catchments like marina romea, water consumption by the (natural) vegetation and seasonal differences as well as the fact that fresh water lenses are limited in salty surroundings should be taken into account in water and forest management.",1,1,0,0,0,1,0,0,0,1
Van Camp et al.,2013,Hydrogeology Journal,modeling approaches and strategies for data scarce aquifers: example of the dar es salaam aquifer in tanzania,"management of groundwater resources can be improved by using groundwater models to perform risk analyses and to improve development strategies, but a lack of extensive basic data often limits the implementation of sophisticated models. dar es salaam in tanzania is an example of a city where increasing groundwater use in a pleistocene aquifer is causing groundwater related problems such as saline intrusion along the coastline, lowering of watertable levels, and contamination of pumping wells. the lack of a water level monitoring network introduces a problem for basic data collection and model calibration and validation. as a replacement, local water supply wells were used for measuring groundwater depth, and well top heights were estimated from a regional digital elevation model to recalculate water depths to hydraulic heads. these were used to draw a regional piezometric map. hydraulic parameters were estimated from short time pumping tests in the local wells, but variation in hydraulic conductivity was attributed to uncertainty in well characteristics (information often unavailable) and not to aquifer heterogeneity. a modflow model was calibrated with a homogeneous hydraulic conductivity field and a sensitivityanalysis between the conductivity and aquifer recharge showed that average annual recharge will likely be in the range 80 100 mm/year.",1,1,0,1,0,0,0,1,0,1
